class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62
A,0.0,0.0,0.0,0.22513599299598025,-0.10306390507954079,-0.10418483023193466,0.419352409477277,-0.39929468679067587,-0.12764344032981603,0.4666354560410801,-0.6611633472813273,-0.1455941138953577,0.4534571774394788,-0.8784994011452202,-0.15038414283464352,0.26240459834421204,-0.6265063191082203,-0.052861892841430454,0.311377192979911,-0.8132629273851015,-0.19441864143228843,0.2829125971894378,-0.6167878893656941,-0.263610709634138,0.2576813008470773,-0.4353873460631536,-0.2747178590392309,0.0860503633999402,-0.6086575145407485,-0.04372203237263447,0.13553079198068926,-0.7870476260713993,-0.20251344149531492,0.12105421098549562,-0.5370544009825783,-0.23500676018377978,0.1153980846298964,-0.33364002932641074,-0.20548242307026382,-0.09081047824446865,-0.5621278736291113,-0.05763370486403711,-0.0435274316806655,-0.6842938457814046,-0.22941610734429563,-0.02486840002155019,-0.4172787337475738,-0.20299179088132724,-0.0070307633827878,-0.2362490638577789,-0.12653775402533826,-0.27281470331977414,-0.49633699197948955,-0.07660226303080334,-0.21438815022032687,-0.5866913032897505,-0.19957534047049244,-0.17199002930871674,-0.38549407229363014,-0.17235955842248993,-0.14394821939081426,-0.24675624390596898,-0.11041684893329735
A,0.0,0.0,0.0,0.23367625164154443,-0.11329711134401832,-0.0966933368534481,0.43484542908220175,-0.39596935028305347,-0.11946518489264694,0.4777840076224626,-0.6569064000368057,-0.1401196984135219,0.4742080915330297,-0.8679445781623192,-0.14764448910553893,0.2799400783313786,-0.6252896168012669,-0.03773549528943129,0.3115057684844388,-0.8068262173311289,-0.18153531929811884,0.2765489848712871,-0.6101766188271847,-0.2553339697344164,0.25522086123044607,-0.4203913639605543,-0.2696726556416404,0.10328562572492614,-0.6066406416965906,-0.032602150954578364,0.14686418710111568,-0.7768921475866095,-0.1983097569709561,0.12546122288875672,-0.5258454472704862,-0.23649021724489225,0.12061433638846616,-0.31683516078475576,-0.20931216054178048,-0.06905685856868737,-0.5619636989839253,-0.050015117229482695,-0.02677493408140809,-0.6886543941461275,-0.22759736729162697,-0.019895838216054607,-0.42046836339471216,-0.2053534511205033,-0.0040932035653250525,-0.2338278517735935,-0.13022726507376137,-0.24830974223593347,-0.49702774938444216,-0.07202141233722179,-0.19315679862614898,-0.5753163843487636,-0.20234194268249955,-0.15754084228693585,-0.37374445908894427,-0.18185190750900496,-0.12435516559622778,-0.23489301061277693,-0.12273835797708252
A,0.0,0.0,0.0,0.2359251635591572,-0.10440778247126895,-0.10311833780827084,0.4432623834842659,-0.3845972077005024,-0.12817059675454273,0.4919852695250523,-0.6440945448682965,-0.1496835231802922,0.49217118740066085,-0.8564057063366655,-0.15600252705203377,0.29046257340225046,-0.627278887071345,-0.04325684387606,0.32527384129498,-0.8155649356984793,-0.192434983012795,0.28559782365251307,-0.6144555390257714,-0.26731272344551515,0.26298381411176086,-0.4293591553515243,-0.2823918304638505,0.11217292403715529,-0.6100474979358024,-0.038045192831852946,0.15653105660322225,-0.7862965496629228,-0.20879656162941568,0.12826156876787806,-0.5310886990208608,-0.24538619358360958,0.12218829202947236,-0.32829692188581117,-0.21642226478859558,-0.06062369718495879,-0.5662590352501974,-0.05680996746120208,-0.023390025160198922,-0.6885680705435542,-0.23540780549575258,-0.019230766263490316,-0.4199448286012826,-0.2059181176069537,-0.0011110082599317822,-0.2421407057746473,-0.1260885582166459,-0.2380958672317305,-0.5025613094103917,-0.08159207399404468,-0.19435446158854566,-0.5906292330691804,-0.2059678345274177,-0.16378404245160474,-0.3930199319160233,-0.17752838808472757,-0.1312982679342933,-0.2624907487189598,-0.11441604820479682
A,0.0,0.0,0.0,0.23601337069038283,-0.08033540544075647,-0.1116570828396574,0.45657047126186406,-0.35309013586939036,-0.1369621626885326,0.516401400799164,-0.6165839544205789,-0.15466566084622924,0.5214932308581987,-0.8384292158035634,-0.15837064202717283,0.3020451115034489,-0.6004320667944854,-0.05379232039475556,0.344371089640441,-0.7869328343042489,-0.19077274971327535,0.2937568549849862,-0.5821635720465594,-0.25598309759734805,0.2625959645976317,-0.4035564273331315,-0.26619423033935946,0.12924414434366008,-0.5877600448677135,-0.038600000104399325,0.1738843428241084,-0.7710196947455522,-0.19879371864238204,0.13514800233798188,-0.5199583202441698,-0.23255604721023057,0.12094047707606052,-0.32289478818757067,-0.20329331657569374,-0.039477360431160055,-0.5487394353321244,-0.045831594158548664,-0.004995927781713929,-0.6840861177897474,-0.218322723761533,-0.018700588444877937,-0.42112823767584834,-0.19259135147367412,-0.01261298690315538,-0.24334888727951673,-0.11642274587501378,-0.20958369883226108,-0.4931779945710729,-0.05799833244348953,-0.1729227713500819,-0.5948304965716938,-0.18143445809352948,-0.16334830999981403,-0.3926747788233876,-0.15456611333401646,-0.14352516702454174,-0.25035603636781184,-0.0923339075386653
A,0.0,0.0,0.0,0.23101131942700173,-0.08290390583336707,-0.11547429765177307,0.44530663948997806,-0.34987618450377594,-0.14471688977240343,0.5064009861140157,-0.6149844310804964,-0.16653939930139064,0.5117586685281434,-0.8409679451471908,-0.1757156237254203,0.30589317809078137,-0.607549116238571,-0.05122629746937881,0.3326714740868048,-0.7904519312372289,-0.19652780483683788,0.28107286577797286,-0.6064333248362235,-0.2734432706554145,0.25524141111055676,-0.42482943707345816,-0.29151741117484536,0.13080811206517856,-0.5943708942101152,-0.03553262846058567,0.15751222351402636,-0.7620173896456408,-0.20414650260033754,0.11352520555420174,-0.5171980353378681,-0.24499224683880733,0.10353029128127629,-0.31701801138749924,-0.21998967076785172,-0.03695669493265299,-0.5541981014869733,-0.04379894031545871,-0.027160846403872924,-0.6896865259356026,-0.21836678205625415,-0.035221555582764325,-0.433262638723944,-0.19540936813911686,-0.01829945573305099,-0.2558352944564811,-0.12257796221990246,-0.20721523059976835,-0.4923448167133814,-0.05842885538762248,-0.19841325733271878,-0.5792279444487012,-0.18776306918927577,-0.17597394340943417,-0.3806973057674341,-0.16771372149752278,-0.13808226737358434,-0.24910008174393625,-0.11002870277024884
A,0.0,0.0,0.0,0.2361339830109927,-0.10160341461314061,-0.11429446046971124,0.4547931075910331,-0.35551497426327183,-0.14537155101397678,0.5191145767992903,-0.615484998098006,-0.1680789044929277,0.5215977088884869,-0.8344689354431883,-0.17775664787172724,0.323052603400911,-0.5916932602776447,-0.06128371743499186,0.34411372731627876,-0.7835906374688207,-0.20545852435352807,0.28970291968678985,-0.5980898622952443,-0.28032622955761877,0.2615093538956241,-0.42194077918735184,-0.29819881848614005,0.1436604607229632,-0.5806807180878147,-0.04638509573401575,0.15986585018945054,-0.7621303879098906,-0.20180365470031794,0.12649156635005918,-0.522185834105595,-0.23840274732238248,0.12562355776326783,-0.3378738372078079,-0.2178290276251144,-0.023655127402483555,-0.5411948975713392,-0.054857959713368265,-0.01854655833277038,-0.6816821129686482,-0.22304644655467484,-0.020966140098352223,-0.43177274314314923,-0.20016427274104906,-0.0008936906620155677,-0.2641004532012844,-0.13187805487104196,-0.1908666774981417,-0.4800961586629488,-0.06935461565215276,-0.1761491969973613,-0.5812679321891723,-0.19423081648468543,-0.15536778561747336,-0.39475832410057937,-0.173537498608948,-0.12426514112363604,-0.26674963613605485,-0.11845852282002921
A,0.0,0.0,0.0,0.2457455686585045,-0.0782328666100505,-0.11071490415921129,0.4762272497672305,-0.3310489177716965,-0.13675761203852227,0.5451392456473918,-0.5931524446359293,-0.15611107764245538,0.5583255612866215,-0.8135343720546628,-0.1625865710924629,0.33490940652857504,-0.5892892417955597,-0.05339027473118799,0.3717076585213924,-0.7920680957061591,-0.1991473555302712,0.30986779719519325,-0.6027302092684236,-0.27200574680998285,0.2769685031426487,-0.4211674640106353,-0.28698542261680116,0.15414058969372058,-0.5821545063158594,-0.03933408795786455,0.16943934731617696,-0.7666326492575066,-0.20749447505549384,0.12424189194592639,-0.5178313175972064,-0.246464097094291,0.11755521624950195,-0.3235517931441321,-0.22166324466710582,-0.016675977988696036,-0.544580498459135,-0.04846984786834966,-0.014775824535917874,-0.6866005813001803,-0.22701686285583444,-0.027704597252577238,-0.421901682596767,-0.20137805190125543,-0.012675713932030716,-0.24438834990755726,-0.12612766803874362,-0.18732766509903412,-0.4835629454288951,-0.06308978223375297,-0.18387051274964478,-0.5876140622634598,-0.19581012436991374,-0.17284909170719626,-0.38760015140841353,-0.17386836714460283,-0.1438127939886687,-0.25246982851109784,-0.11413132313055492
A,0.0,0.0,0.0,0.2442476810911992,-0.07989663973679557,-0.11689003268137263,0.4793497165019509,-0.3279798451580675,-0.14700083508151043,0.5400495713105036,-0.5972835694517906,-0.16892960632810525,0.5528566079426877,-0.8147981336505927,-0.17450951966473416,0.33823305944984966,-0.5976132466814181,-0.049749190041278334,0.3673216530190876,-0.7997110112012494,-0.19869452303753485,0.29797864351113124,-0.6101326046450759,-0.27280765395400275,0.2677632033025122,-0.43220868404431,-0.2883900381238723,0.15445051170072102,-0.589683551144983,-0.03247419070580017,0.16459677883691226,-0.7722235267113685,-0.21080716337823371,0.12469367053429005,-0.5188156840436035,-0.25564163141769336,0.12335906871765846,-0.32894787756639937,-0.23227555695505286,-0.011940844997014186,-0.5527278008802939,-0.03852505665727708,-0.022770965753102758,-0.690411247687625,-0.222405020126255,-0.026037271880054266,-0.4240422589134713,-0.19736925901573826,-0.005388897339981263,-0.2528144695545023,-0.12087567891734861,-0.17988870164670714,-0.49403963124842065,-0.05052022510051067,-0.18928283881366995,-0.5920595681017066,-0.18361798629109213,-0.1671911366737868,-0.38861750537613693,-0.16261147647998975,-0.12943821699934413,-0.26151322070979,-0.1027919490927973
A,0.0,0.0,0.0,0.23702310373373145,-0.11048951094028164,-0.10483916468156089,0.4537197032598823,-0.3586158433860122,-0.13425012435310163,0.5177658571339308,-0.6133145594056952,-0.15887212071376694,0.5350471396546603,-0.8275951093483459,-0.16973771923195416,0.3267763784886252,-0.6094483280214646,-0.0403612416586069,0.3475357455954226,-0.8043463803343447,-0.18051119430121038,0.2824629983692716,-0.6193666904656546,-0.2527330109909891,0.2552746152372101,-0.44867252516731776,-0.2689348137092335,0.15176401795503258,-0.5974437662453776,-0.02887300421124673,0.1559468503757392,-0.7773254893635158,-0.19224283604694367,0.11485065571457458,-0.5318249305357357,-0.23107186917959954,0.11420403881130627,-0.342051564223914,-0.2069600228063928,-0.012073236874496095,-0.5573791333919883,-0.03993224311380215,-0.017543009724553926,-0.7025618245528575,-0.20894188456916343,-0.023817120342956268,-0.44768115264542824,-0.18268770911622415,-0.0033369804449636734,-0.27650637206835377,-0.10902746930414033,-0.17797938424866191,-0.49326430441953073,-0.05688601469747438,-0.1816172322871381,-0.5978770155800357,-0.1812843826127403,-0.16043358666842497,-0.4045385062977481,-0.15928865671559272,-0.12324439233053847,-0.2754162928937669,-0.10088468800407713
A,0.0,0.0,0.0,0.24451825882006714,-0.105211230678522,-0.10547758775378979,0.4675008060262551,-0.3510636996076577,-0.13519212694122057,0.5259422492286405,-0.6072693192914003,-0.1601182759185956,0.5424613710733434,-0.8222848906087896,-0.17199773129236096,0.33678683544415977,-0.6072002390427906,-0.03245975798715401,0.35348022283511243,-0.7954362595508732,-0.17154279929105018,0.286385863702516,-0.6091157069071504,-0.24715449877694437,0.2627326412641445,-0.43340556746491976,-0.2672257202983334,0.1584519260056075,-0.5964193608265258,-0.020731247986715842,0.15834539934391662,-0.7682455247698664,-0.18285657629407115,0.12322915917934466,-0.5200329816837418,-0.22678610922816264,0.12841884080122648,-0.32797837717423955,-0.20784934635262955,-0.007219053650211263,-0.5560738129104084,-0.031538593691032644,-0.02411644015720365,-0.6966610053678137,-0.2019420768812647,-0.021615969896244397,-0.43697359583970774,-0.1777457417277929,0.0037548133188440606,-0.2621622262015961,-0.10626473091831705,-0.17522638208637267,-0.48908044731279376,-0.047927114183843475,-0.18830342405162878,-0.5977800069854263,-0.1760618687503069,-0.16419788247733685,-0.39722517848681455,-0.15345985655139652,-0.12742801988913,-0.26231614772641076,-0.09421223958201498
