class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62
A,0.0,0.0,0.0,0.21354480496769337,-0.1680604897289158,-0.08660125367742912,0.3696457263902858,-0.45471834000615985,-0.11087688124161575,0.4224890290797843,-0.6967265468130565,-0.1371118877625129,0.43136553736837013,-0.8891592579883068,-0.15270752144076316,0.2337273378048343,-0.6866605253316445,-0.023063045903710805,0.21614821117941896,-0.8701307542015523,-0.16007942926797564,0.1635220502570882,-0.6887275207632569,-0.24340366548122613,0.14871457057844795,-0.5005696777928575,-0.2668267523190595,0.043102287706749814,-0.6627348568121806,-0.018747720149329364,0.025218279917189237,-0.829867550966015,-0.17109166144689786,0.003417952645637707,-0.5958980029948766,-0.21971570540850313,0.018815598932116755,-0.37982508528187797,-0.20469344515874055,-0.12472005223036983,-0.6187969263778792,-0.03626714658080653,-0.13689888076012596,-0.7331291283125714,-0.18182320920432724,-0.12205927116146577,-0.49462016991048385,-0.16993094601892478,-0.0908157485504273,-0.2999380995268046,-0.1101726048697501,-0.2761464233661052,-0.551494100451275,-0.060708477145975125,-0.285551133416777,-0.653074696243548,-0.15911782666166457,-0.26072141368620255,-0.4766007574579821,-0.13638247678975252,-0.2294727714725235,-0.33082254380091697,-0.08173067998429648
A,0.0,0.0,0.0,0.21908582679268648,-0.17525777979679905,-0.08388229889130817,0.35326115148890463,-0.4863868949010116,-0.10788334852409748,0.350682249643452,-0.7354455102283411,-0.13627973637720256,0.32621774131479164,-0.9335941195255542,-0.14827004160915647,0.14532542197417878,-0.7021412310230215,-0.0274373229704464,0.2157885289527492,-0.848373225077071,-0.17882329965212648,0.2302914874205984,-0.6417843580961438,-0.25953824900383154,0.22772679408251376,-0.45859540103815727,-0.27970817822235283,-0.02547562267818989,-0.6659649850682442,-0.03685402386318813,0.079635449340697,-0.7925077999488032,-0.20548297905052332,0.1112661281009139,-0.534882032260168,-0.24393182088856075,0.12455674278968022,-0.33522616601874594,-0.22146027231136298,-0.18697101913507688,-0.606919222374105,-0.07030387529109974,-0.06313960331908522,-0.6872884313798553,-0.24558122066460983,-0.02389766974610106,-0.41982419646943825,-0.21977328641267274,-0.008244284246723833,-0.23700691317126105,-0.14525568655567853,-0.34484012727248126,-0.5214172189607434,-0.11044799854356209,-0.20796830511698422,-0.5780396225343977,-0.2276682493075198,-0.15619423701278096,-0.38893016528227625,-0.20168832569454587,-0.1404301868787814,-0.25748807223511766,-0.143733296973541
A,0.0,0.0,0.0,0.21702932648801881,-0.18621452370832225,-0.07663724695047096,0.3418472719330222,-0.4868101356966698,-0.09833209964349429,0.342469439956479,-0.7325879334162386,-0.1281415222113334,0.3234734296355959,-0.9353213952881307,-0.14331373917405618,0.14033717479424782,-0.6992033732722076,0.0018006416174841781,0.20818126062761372,-0.8584773587113373,-0.15209516254205163,0.23636362067176603,-0.6639311663163773,-0.24153501589644655,0.24438346249359816,-0.48161496412975263,-0.26603262467860644,-0.020939885396374674,-0.6611206102699297,-0.00973853540737388,0.0732944560035856,-0.803891028889934,-0.1767126278110962,0.1073250126120893,-0.5504314446412195,-0.22135504062681136,0.12521211471629337,-0.3540368052199205,-0.2021368172363822,-0.1802450706647483,-0.5991007211322662,-0.04685233496277161,-0.068027284830721,-0.6901794226601309,-0.222097093708425,-0.028857784918992387,-0.43041535863000935,-0.19984605834509395,-0.011415594665507858,-0.25268010280051706,-0.12538256588248153,-0.3408423631471561,-0.5107839473455622,-0.0897913892437953,-0.21537299269596175,-0.5970606751545449,-0.20279109936979325,-0.15863570321815143,-0.41723051650470466,-0.172631035863863,-0.13930986613097582,-0.28349924841358826,-0.11058459687150626
A,0.0,0.0,0.0,0.22893540623863798,-0.1692245267772883,-0.08026704962232095,0.36218261419787345,-0.4652883406724064,-0.10376030737855324,0.3657563501921044,-0.7168726325386587,-0.1345196990709521,0.3525045070967055,-0.9234508161950891,-0.15158879425977595,0.1641021250081291,-0.6894977047392267,-0.005965763917864061,0.2370943593446177,-0.8482808584452854,-0.16557701188705076,0.25757693980703067,-0.6553086006860156,-0.25923652416858123,0.25827433126874405,-0.4671259174021704,-0.2850030892497418,-0.005979414483990185,-0.6604896746839436,-0.01596246255703541,0.09190460074035367,-0.793485915405152,-0.18659860685432833,0.1214881690556855,-0.5482997656755105,-0.23405233365755793,0.13670395082663997,-0.3465289572505384,-0.21535391301802828,-0.17290366198487644,-0.6038416378076352,-0.05171008062417282,-0.05244875655080255,-0.6774965989756664,-0.2302833602593624,-0.018000311877614233,-0.41762283464422706,-0.2127129015068899,-0.0025462107742354697,-0.23505710966066035,-0.14049523427833954,-0.34010850561376693,-0.5192756915177498,-0.09337047013102145,-0.20733617966582413,-0.5683495067017367,-0.21239196090221726,-0.15170284443855275,-0.38109334105841963,-0.1886072523628829,-0.12974924228838464,-0.24567315265047018,-0.12909714376419903
A,0.0,0.0,0.0,0.22517024088346296,-0.15075681081167663,-0.08533822567978754,0.3845931317802232,-0.4503522115188503,-0.10869047052833082,0.3994731931174172,-0.7060249173965063,-0.13665869213353118,0.3830474756578381,-0.911424835615749,-0.15026443496370845,0.19469692606484423,-0.6781824349575096,-0.01579855834212894,0.25995023283683316,-0.8347353691260122,-0.1662009143420972,0.2584347721154414,-0.6336099002577684,-0.25087259315249766,0.24746396998146367,-0.44810985458662306,-0.27309591470491296,0.025118044316295333,-0.6476221341567986,-0.021864475066351752,0.11479513345404853,-0.790253420629251,-0.1864005052790927,0.1239911428265649,-0.5403417069207267,-0.2275765944968143,0.1282938713319557,-0.33863468624296733,-0.20628465589484596,-0.14062358264679062,-0.5954570820134442,-0.0527539910253808,-0.042326054933916835,-0.6889388497444348,-0.22449444249148004,-0.016343144651478143,-0.4273225275897162,-0.2016325027250757,-0.0005774289759184597,-0.2443344489408211,-0.12850706619287136,-0.30901683036172095,-0.5197340425597301,-0.08982312100698829,-0.19780705236715646,-0.5846499157256186,-0.20289741420332144,-0.14959208128643806,-0.3998835021624534,-0.1768000227034629,-0.12651838175354832,-0.2691102400004729,-0.118589415770654
A,0.0,0.0,0.0,0.24157357825321035,-0.14110011733750413,-0.0898063078061494,0.3923267180963346,-0.4433989378755867,-0.1110842952204699,0.40208675780496406,-0.6984862992735215,-0.13435616385946333,0.3924780996525209,-0.9084949942122302,-0.1435192906353209,0.20735603699156963,-0.6583169732584094,-0.022106142621449894,0.2717276515386245,-0.8348002580411584,-0.16971023194672344,0.27134607090518226,-0.6387404354821208,-0.24857552433954117,0.2562980598765218,-0.44826544784043665,-0.26579452740907317,0.03782120103486043,-0.6291924833395435,-0.023998541125669914,0.1218361948637218,-0.7892543499899625,-0.18564892226007684,0.13023450850848087,-0.5386500300786193,-0.22437561036240602,0.13381834591113215,-0.33183698445226345,-0.1997938355248638,-0.12944066976333576,-0.5737887216201869,-0.050670562079032,-0.031824343986406135,-0.6808211453783236,-0.22173873361802593,-0.009920388527691885,-0.4149459307597263,-0.19547974140052016,0.0012202556929683088,-0.2330186914790209,-0.11866815868937747,-0.30097921701167013,-0.4945874960916274,-0.08306548503790499,-0.19426017549299626,-0.5758828724775306,-0.1961742175634335,-0.15219922897221144,-0.38641363416159213,-0.16515357926109384,-0.13425172428671447,-0.25599458882234327,-0.10243062844115988
A,0.0,0.0,0.0,0.2322162057547576,-0.1422129042043015,-0.08451497057781798,0.38741693206082256,-0.44628328573838927,-0.10637117412648209,0.40118503397417515,-0.6987584801170262,-0.13193132733594465,0.39728007686875305,-0.9064890926506098,-0.14298973889280284,0.19629937690198299,-0.6690050197045696,-0.028796910734209268,0.26605157683379926,-0.8429547585862928,-0.17356900729934954,0.26564358738983107,-0.6386615164189322,-0.24799078873928057,0.2493873428761854,-0.45107656869710255,-0.2631295839673485,0.02669638602067653,-0.6361557614836306,-0.03471913250680973,0.11135123060450806,-0.7831568487785958,-0.19426754821335288,0.12778063342867513,-0.5294148115959629,-0.2315611487119484,0.13027423170176547,-0.32735898828338716,-0.20900588519794444,-0.14103673231016417,-0.5783199369568311,-0.06363204126594568,-0.044849188440861464,-0.6863978231837813,-0.23411407742670884,-0.014027127769639366,-0.4190600714880306,-0.20728641427934852,-0.004642540347293617,-0.23392335693396626,-0.13257936638299175,-0.31285579376139655,-0.4983059722981376,-0.0974508155360294,-0.20622810838506303,-0.5837317864693282,-0.21278768938508735,-0.1587477438353545,-0.39386482569767534,-0.18227296988984287,-0.14272336541559189,-0.2556103679125255,-0.1205011072303946
A,0.0,0.0,0.0,0.22856750306996068,-0.13392205371882607,-0.09369016278650283,0.3912615670960602,-0.4355063346848483,-0.1201079961475306,0.4063543252538755,-0.692835222890229,-0.1472067955788007,0.3972152448525444,-0.9036837595952932,-0.1599240816776811,0.20287261416179253,-0.6561643523816092,-0.047752519546135866,0.2559188443316724,-0.8346632401556293,-0.20034307109553898,0.2538426379979444,-0.621707636364881,-0.27499517038539084,0.24759073912584556,-0.43377156645786874,-0.2887595134476409,0.02847044644096344,-0.6263248107629565,-0.049824883208863566,0.10629875581124967,-0.7919629427720876,-0.2202275429913131,0.11734296534107434,-0.5315208792136721,-0.2567374839307382,0.1204557825422488,-0.32810864958247293,-0.23071918389278634,-0.1430466886617947,-0.5700447677551227,-0.07505664818502304,-0.05876949689628559,-0.6874262344211713,-0.25792935362959246,-0.022436542667788665,-0.41577443548153026,-0.2316123400172182,-0.005173145469099152,-0.22991510913603636,-0.15348346662123177,-0.31879192585846994,-0.49218386656555596,-0.10502624369792014,-0.22347338977801798,-0.5801315179786108,-0.23306125829075522,-0.16850722686942188,-0.3899007094111561,-0.2072549841540569,-0.14646835215043708,-0.2531182161686613,-0.14613366814460546
A,0.0,0.0,0.0,0.2381834516347083,-0.11639125113441671,-0.09797948031874164,0.4106906997869336,-0.4225238559554019,-0.12246832662963614,0.4169975330671036,-0.6907181666783198,-0.14553197611374544,0.399439408601199,-0.9032958828016162,-0.15653979356691738,0.22673021907261318,-0.6568176859637016,-0.05073654794520947,0.26215806367491457,-0.8230921967142771,-0.20352480462079517,0.25415291989938904,-0.5971518054793375,-0.27870759171660264,0.24159363679821963,-0.4044023746303974,-0.29213916521999206,0.03915140018788628,-0.6316165304288462,-0.05033905509048107,0.09484487956137,-0.785445342179457,-0.2170215685528057,0.0991978381184739,-0.5088837749744387,-0.2508605509559318,0.09824581066306443,-0.3009826560358973,-0.2226517302546076,-0.1404458537637526,-0.5737333245239357,-0.0735460236877803,-0.07430732749433507,-0.6887259446443001,-0.2574950160548109,-0.05533333157044533,-0.40229612480727783,-0.22974325726966235,-0.04632012889672854,-0.21018154795257082,-0.15006226721501523,-0.32071396381313144,-0.4935159474958264,-0.1007667672921994,-0.250054764962175,-0.5717234183580879,-0.23311522189019018,-0.20669707675858412,-0.36818286405485606,-0.20728447323186067,-0.18120251675694515,-0.2267611504573162,-0.1438467385653058
A,0.0,0.0,0.0,0.2429792790969325,-0.11414937041780407,-0.0953468307729488,0.4266581427167415,-0.4054469637918701,-0.11791447627743945,0.4440901598775463,-0.6687115912971645,-0.1404239596946741,0.4449921759961243,-0.8828267209749541,-0.1503294516548402,0.24818693836154163,-0.6266998180927857,-0.041268783004285055,0.2874308679006818,-0.81923079873656,-0.19033113701739587,0.277685405641488,-0.620780780018169,-0.26423805240330006,0.2642906006182342,-0.4320276177621678,-0.27759563979696594,0.07112066135918779,-0.5998718607593524,-0.04090500281024035,0.13147684847794505,-0.7702873259824429,-0.20950757409232917,0.13071723024648618,-0.5129417365517653,-0.24837564831642212,0.12602176372508264,-0.30848084167032397,-0.22402461735246937,-0.10173889384238921,-0.5461722253003856,-0.06397149125601913,-0.04087478835954234,-0.6734571901793419,-0.24908337863854157,-0.02470029353464301,-0.39880006001637,-0.2234404013211605,-0.014848093922668682,-0.20946546007548522,-0.1447183825955259,-0.281188076139313,-0.4728612499570797,-0.09111582897222956,-0.21187279039357476,-0.5773935116142853,-0.22124573662972796,-0.170895172685015,-0.382810096244161,-0.19362740080084073,-0.14727727406764204,-0.23986350097165762,-0.13021155204834484
